city,lat,lon
Abu_Dhabi,24.4538352,54.3774014
Addis_Ababa,9.0358119,38.7524315
Adelaide,-34.9281805,138.5999312
Agra,27.1752554,78.0098161
Ahmedabad,23.0215374,72.5800568
Amman,31.9515694,35.9239625
Amsterdam,52.3730796,4.8924534
Ankara,39.9207759,32.8540497
Antalya,36.8865728,30.7030242
Astana,51.1159933,71.4677059
Athens,37.9755648,23.7348324
Atlanta,33.7544657,-84.3898151
Auckland,-36.852095,174.7631803
Austin,30.2711286,-97.7436995
Baku,40.3755885,49.8328009
Baltimore,39.2908816,-76.610759
Bandar_Seri_Bagawan,4.9717811,114.9485486
Bangkok,13.7524938,100.4935089
Banglore,13.0240558,77.6240521
Barcelona,41.3825802,2.177073
Beijing,39.9057136,116.3912972
Beirut,33.8892265,35.5025585
Belgrade,44.8153318,20.4456588
Belmopan,17.250199,-88.770018
Berlin,52.5173885,13.3951309
Bern,46.9484742,7.4521749
Bogota,4.6533817,-74.0836331
Boston,42.3588336,-71.0578303
Brasilia,-15.7939869,-47.8828
Bratislava,48.1516988,17.1093063
Bridgetown,13.0977832,-59.6184184
Brisbane,-27.4689623,153.0235009
Bristol,51.4538022,-2.5972985
Brussels,50.8467372,4.352493
Bucharest,44.4361414,26.102684
Budapest,47.4813896,19.1457723
Buenos_Aires,-34.6095579,-58.3887904
Busan,35.1799528,129.0752365
Cairo,30.0443879,31.2357257
Calgary,51.0456064,-114.057541
Canberra,-35.2975906,149.1012676
Cancun,21.1527467,-86.8425761
Cape_Town,-33.9288301,18.4172197
Caracas,10.5060934,-66.9146008
Chandigarh,30.7334421,76.7797143
Charleston,32.7884363,-79.9399309
Charlotte,35.2272086,-80.8430827
Chennai,13.0836939,80.270186
Chicago,41.8755616,-87.6244212
Colombo,6.9388614,79.8542005
Copenhagen,55.6867243,12.5700724
Dallas,32.7762719,-96.7968559
Damascus,33.5130695,36.3095814
Delhi,28.6138954,77.2090057
Denver,39.7392364,-104.984862
Detroit,42.3315509,-83.0466403
Dhaka,23.7643863,90.3890144
Djibouti,11.5936903,43.1472724
Doha,25.3108807,51.5081812
Dortmund,51.5142273,7.4652789
Dubai,25.0742823,55.1885387
Dublin,53.3493795,-6.2605593
Durban,-29.861825,31.009909
Edinburgh,55.9533456,-3.1883749
Edmonton,53.5462055,-113.491241
Florence,43.7697955,11.2556404
Gaborone,-24.6581357,25.9088474
Genova,44.40726,8.9338624
Glasgow,55.861155,-4.2501687
Guatemala_City,14.6416142,-90.5132836
Hamburg,53.5501721,10.0013165
Hanoi,21.0283334,105.854041
Harare,-17.8567035,31.0601584
Havana,23.135305,-82.3589631
Hefei,31.8665676,117.281428
Helsinki,60.1666204,24.9435408
Hiroshima,34.3917241,132.4517589
Ho_Chi_Minh_City,10.8186965,106.6518346
Hyderabad,17.360589,78.4740613
Incheon,37.456,126.7052
Indianapolis,39.7683331,-86.1583502
Indore,22.7203616,75.8681996
Islamabad,33.6938118,73.0651511
Istanbul,41.006381,28.9758715
Jacksonville,30.3262247,-81.6579179
Jaipur,26.9154576,75.8189817
